Borough,Geographical District,Building Code,Building Name ,Building Address,Elevated Result,Date of Initial Test,Number of Samples Tested,Number of Elevated Samples
K,20,K112,P.S. 112 - BROOKLYN,7115 15 AVENUE,Yes,12/13/2016,62,9
K,13,K113,I.S. 113 - BROOKLYN,300 ADELPHI STREET,Yes,12/6/2016,102,10
K,18,K114,P.S. 114 - BROOKLYN,1077 REMSEN AVENUE,Yes,12/20/2016,99,9
K,18,K115,P.S. 115 - BROOKLYN,1500 EAST 92 STREET,Yes,12/16/2016,112,4
K,32,K116,P.S. 116 - BROOKLYN,515 KNICKERBOCKER AVENUE,Yes,12/2/2016,50,3
K,13,K117,I.S. 117 - BROOKLYN,300 WILLOUGHBY AVENUE,Yes,12/6/2016,113,14
K,22,K119,P.S. 119 - BROOKLYN,3829 AVENUE K,Yes,12/14/2016,54,5
K,14,K120,P.S. 120 - BROOKLYN,18 BEAVER STREET,Yes,12/17/2016,119,9
K,21,K121,P.S. 121 - BROOKLYN,5301 20 AVENUE,Yes,12/15/2016,53,2
K,32,K123,P.S. 123 - BROOKLYN,100 IRVING AVENUE,Yes,12/3/2016,69,4
K,15,K124,P.S. 124 - BROOKLYN,515 4 AVENUE,Yes,12/2/2016,38,8
K,14,K126,J.H.S. 126 - BROOKLYN,424 LEONARD STREET,Yes,12/17/2016,90,9
K,20,K127,P.S. 127 - BROOKLYN,7805 7 AVENUE,Yes,12/9/2016,79,12
K,21,K128,P.S. 128 (TANDEM BROOKLYN STUDIO),2075 84 STREET,Yes,12/13/2016,60,9
K,15,K130,P.S. 130 - BROOKLYN,70 OCEAN PARKWAY,Yes,12/1/2016,40,8
K,15,K131,P.S. 131 - BROOKLYN,4305 FT HAMILTON PARKWAY,Yes,12/6/2016,54,5
K,14,K132,P.S. 132 - BROOKLYN,320 MANHATTAN AVENUE,Yes,12/1/2016,135,3
K,18,K135,P.S. 135 - BROOKLYN,684 LINDEN BOULEVARD,Yes,12/14/2016,72,6
K,15,K136,I.S. 136 - BROOKLYN,4004 4 AVENUE,Yes,12/8/2016,92,7
K,23,K137,P.S. 137 - BROOKLYN,121 SARATOGA AVENUE,Yes,12/1/2016,54,2
K,17,K138,P.S. 138 - BROOKLYN,801 PARK PLACE,Yes,12/20/2016,72,7
K,22,K139,P.S. 139 - BROOKLYN,330 RUGBY ROAD,Yes,12/21/2016,147,8
K,15,K142,J.H.S. 142 - BROOKLYN,610 HENRY STREET,Yes,12/9/2016,131,4
K,32,K145,P.S. 145 - BROOKLYN,100 NOLL STREET,Yes,12/7/2016,67,10
K,14,K147,P.S. 147 - BROOKLYN,325 BUSHWICK AVENUE,Yes,12/2/2016,113,11
K,14,K148,P.S. 373 (OLD P148) - BROOKLYN,185 ELLERY STREET,Yes,12/7/2016,56,2
K,19,K149,P.S. 149 - BROOKLYN,700 SUTTER AVENUE,Yes,12/7/2016,87,1
K,23,K150,P.S. 150 - BROOKLYN,364 SACKMAN STREET,Yes,12/6/2016,77,12
K,32,K151,P.S. 151 - BROOKLYN,763 KNICKERBOCKER AVENUE,Yes,12/10/2016,61,3
K,22,K152,P.S. 152 - BROOKLYN,2310 GLENWOOD ROAD,Yes,12/14/2016,181,7
K,21,K153,P.S. 153 - BROOKLYN,1970 HOMECREST AVENUE,Yes,12/13/2016,79,5
K,15,K154,P.S. 154 - BROOKLYN,1625 11 AVENUE,Yes,12/7/2016,53,2
K,23,K155,P.S. 155 - BROOKLYN,1355 HERKIMER STREET,Yes,12/1/2016,62,1
K,14,K157,P.S. 157 - BROOKLYN,850 KENT AVENUE,Yes,12/2/2016,88,7
K,19,K158,P.S. 158 - BROOKLYN,400 ASHFORD STREET,No,11/29/2016; 3/21/2017,72,0
K,19,K159,P.S. 159 - BROOKLYN,2781 PITKIN AVENUE,Yes,12/1/2016,53,6
K,20,K160,P.S. 160 - BROOKLYN,5105 Fort Hamilton Parkway,Yes,12/10/2016,55,2
K,17,K161,P.S. 161 - BROOKLYN,330 CROWN STREET,Yes,12/13/2016,86,9
K,32,K162,I.S. 162 - BROOKLYN,1390 WILLOUGHBY AVENUE,Yes,12/2/2016,57,12
K,20,K163,P.S. 163 - BROOKLYN,1664 BENSON AVENUE,Yes,12/16/2016,44,3
K,20,K164,P.S. 164 - BROOKLYN,4211 14 AVENUE,Yes,12/15/2016,70,8
K,23,K165,P.S. 165 - BROOKLYN,76 LOTT AVENUE,Yes,12/7/2016,55,15
K,19,K166,I.S. 166 - BROOKLYN,800 VAN SICLEN AVE,Yes,12/10/2016,88,1
K,17,K167,P.S. 167 - BROOKLYN,1025 EASTERN PARKWAY,Yes,12/17/2016,53,16
K,15,K169,P.S. 169 - BROOKLYN,4305 7 AVENUE,Yes,12/7/2016; 4/5/2017,104,4
K,20,K170,P.S. 170 - BROOKLYN,619 72ND STREET,Yes,12/13/2016,159,2
K,19,K171,I.S. 171 - BROOKLYN,528 RIDGEWOOD AVENUE,Yes,12/10/2016,70,7
K,15,K172,P.S. 172 - BROOKLYN,825 4 AVENUE,Yes,11/29/2016,63,3
K,19,K174,P.S. 174 - BROOKLYN,574 DUMONT AVENUE,Yes,12/7/2016,61,4
K,23,K175,TEACHERS PREP HS(OL REDIRECTION)-K,226 BRISTOL STREET,Yes,12/10/2016,75,11
K,20,K176,P.S. 176 - BROOKLYN,1225 69 STREET,Yes,12/10/2016,81,11
K,21,K177,P.S. 177 - BROOKLYN,346 AVENUE P,Yes,12/15/2016,77,2
K,23,K178,P.S. 178 - BROOKLYN,2163 DEAN STREET,Yes,12/2/2016,47,3
K,20,K179,P.S. 179 - BROOKLYN,202 AVENUE C,No,12/16/2016,81,0
K,20,K180,P.S. 180 - BROOKLYN,5601 16 AVENUE,Yes,12/10/2016,86,4
K,17,K181,P.S. 181 - BROOKLYN,1023 NEW YORK AVENUE,Yes,1/7/2017,202,25
K,23,K183,P.S. 183 - BROOKLYN,76 RIVERDALE AVENUE,Yes,12/2/2016,76,5
K,23,K184,P.S. 184 - BROOKLYN,273 NEWPORT STREET,Yes,12/3/2016,86,8
K,20,K185,P.S. 185 - BROOKLYN,8601 RIDGE BOULEVARD,Yes,12/10/2016,69,6
K,20,K186,P.S. 186 - BROOKLYN,7601 19 AVENUE,Yes,12/13/2016,70,5
K,21,K188,P.S. 188 - BROOKLYN,3314 NEPTUNE AVENUE,Yes,12/17/2016,84,11
K,17,K189,P.S. 189 - BROOKLYN,1100 EAST NEW YORK AVENUE,Yes,12/16/2016,94,5
K,19,K190,P.S. 190 - BROOKLYN,590 SHEFFIELD AVENUE,Yes,12/3/2016; 3/24/2017,119,25
K,17,K191,P.S. 191 - BROOKLYN,1600 PARK PLACE,Yes,12/13/2016,101,18
K,20,K192,P.S. 192 - BROOKLYN,4715 18 AVENUE,Yes,12/15/2016,63,7
K,22,K193,P.S. 193 - BROOKLYN,2515 AVENUE L,No,12/15/2016,82,0
K,22,K194,P.S. 194 - BROOKLYN,3117 AVENUE W,Yes,12/16/2016,138,8
K,22,K195,P.S. 195 - BROOKLYN,131 IRWIN STREET,Yes,12/14/2016,68,1
K,14,K196,P.S. 196 - BROOKLYN,207 BUSHWICK AVENUE,Yes,12/23/2016,73,5
K,22,K197,P.S. 197 - BROOKLYN,1599 EAST 22 STREET,Yes,12/13/2016,92,20
K,22,K198,P.S. 198 - BROOKLYN,4105 FARRAGUT ROAD,Yes,12/13/2016,74,9
K,21,K199,P.S. 199 - BROOKLYN,1100 ELM AVENUE,Yes,12/14/2016,61,6
K,20,K200,P.S. 200 - BROOKLYN,1940 BENSON AVENUE,Yes,12/10/2016,130,22
K,20,K201,I.S. 201 - BROOKLYN,8010 12 AVENUE,Yes,12/13/2016,88,19
K,19,K202,P.S. 202 - BROOKLYN,982 HEGEMAN AVENUE,Yes,11/29/2016,73,11
K,22,K203,P.S. 203 - BROOKLYN,5101 AVENUE M,Yes,12/17/2016,82,5
K,20,K204,P.S. 204 - BROOKLYN,8101 15 AVENUE,Yes,12/14/2016,119,14
K,20,K205,P.S. 205 - BROOKLYN,6701 20 AVENUE,No,12/15/2016,96,0
K,22,K206,P.S. 206 - BROOKLYN,2200 GRAVESEND NECK ROAD,Yes,12/13/2016,86,14
K,22,K207,P.S. 207 - BROOKLYN,4011 FILLMORE AVENUE,Yes,12/24/2016,63,13
K,18,K208,P.S. 208 - BROOKLYN,4801 AVENUE D,Yes,12/14/2016,58,11
K,21,K209,P.S. 209 - BROOKLYN,2609 EAST 7 STREET,Yes,12/14/2016,62,18
K,17,K210,I.S. 394 - BROOKLYN,188 ROCHESTER AVENUE,Yes,12/13/2016,89,10
K,18,K211,I.S. 211 - BROOKLYN,1001 EAST 100 STREET,Yes,12/14/2016,98,14
K,21,K212,P.S. 212 - BROOKLYN,87 BAY 49 STREET,No,12/13/2016,71,0
K,19,K213,P.S. 213 - BROOKLYN,580 HEGEMAN AVENUE,Yes,11/29/2016,94,3
K,19,K214,P.S. 214 - BROOKLYN,2944 PITKIN AVENUE,Yes,12/3/2016,61,11
K,21,K215,P.S. 215 - BROOKLYN,415 AVENUE S,Yes,12/14/2016,69,8
K,21,K216,P.S. 216 - BROOKLYN,350 AVENUE X,Yes,12/14/2016,83,13
K,22,K217,P.S. 217 - BROOKLYN,1100 NEWKIRK AVENUE,Yes,12/13/2016,121,6
K,19,K218,I.S. 218 - BROOKLYN,370 FOUNTAIN AVENUE,Yes,12/9/2016,93,4
K,18,K219,P.S. 219 - BROOKLYN,1060 CLARKSON AVENUE,Yes,12/13/2016,73,7
K,20,K220,I.S. 220 - BROOKLYN,4812 9TH AVENUE,Yes,12/24/2016,59,5
K,17,K221,P.S. 221 - BROOKLYN,791 EMPIRE BOULEVARD,Yes,12/15/2016,61,6
K,22,K222,P.S. 222 - BROOKLYN,3301 QUENTIN ROAD,Yes,12/9/2016; 12/16/2016,59,7
K,20,K223,I.S. 223 - BROOKLYN,4200 16 AVENUE,Yes,12/16/2016,101,14
K,19,K224,P.S. 224 - BROOKLYN,757 WORTMAN AVENUE,Yes,12/3/2016,120,8
